description_zh,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_total_dietary_g,sugars_g,fe_mg,na_mg,serving_size_g,description_en,source
牛肉汤,47.0,3.28,2.05,4.04,0.8,1.1,0.4,249.0,245.0,"Soup, beef",fndd
牛肉汤/sopa或caldo de res,71.0,5.91,3.4,4.04,0.8,1.1,0.65,294.0,245.0,"Soup, sopa or caldo de res",fndd
牛肉沙拉,261.0,17.85,19.32,2.9,0.4,2.1,1.58,338.0,159.0,Beef salad,fndd
"牛肉洋葱 Steak, 波多黎各风味",321.0,20.92,24.12,3.89,0.7,1.55,2.01,999.0,156.5,"Beef steak with onions, Puerto Rican style",fndd
牛肉炒西兰花,160.0,10.43,10.63,5.09,1.3,1.23,1.23,440.0,190.0,Beef and broccoli,fndd
牛肉炒面,105.5,10.77,3.75,7.51,1.15,1.655,1.55,290.5,206.25,Beef chow mein or chop suey with noodles,fndd
牛肉炒饭,178.0,7.86,4.06,27.62,0.9,0.53,0.77,313.0,198.0,"Rice, fried, with beef",fndd
牛肉炖菜,107.0,8.76,5.07,6.29,1.3,1.57,0.97,307.0,255.0,"Stew, beef",fndd
牛肉烤芝士全麦三明治,217.0,15.73,7.61,20.93,2.4,2.82,2.29,696.0,135.0,"Roast beef sandwich on wheat, with cheese",fndd
牛肉热狗,310.0,11.7,27.7,2.89,0.0,1.26,1.11,859.0,57.0,Hot dogs beef,foundation
牛肉热狗-NFY1211GX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hot dogs, beef - NFY1211GX",foundation
牛肉猪肉春卷,272.0,7.58,14.7,27.02,2.0,5.07,1.84,447.0,82.0,"Egg roll, with beef and/or pork",fndd
牛肉猪肉肉糕,196.0,17.27,10.5,7.18,0.4,1.8,1.86,412.0,82.5,Meat loaf made with beef and pork,fndd
牛肉猪肉肉糕，番茄酱口味,157.0,13.63,8.18,6.75,0.7,2.2,1.66,426.0,103.0,"Meat loaf made with beef and pork, with tomato-based sauce",fndd
牛肉玉米卷馅料,181.0,12.97,11.32,6.37,0.9,4.06,1.12,473.0,178.5,"Beef taco filling: beef, cheese, tomato, taco sauce",fndd
牛肉玉米粉蒸肉粽,174.0,7.38,9.04,15.8,2.4,0.46,0.87,473.0,140.0,"Tamale, beef",fndd
牛肉番茄意面,115.0,8.74,3.93,10.67,0.4,2.02,1.17,274.0,311.0,Beef and noodles with tomato-based sauce,fndd
牛肉盖饭,137.0,6.28,5.12,15.98,0.2,0.12,1.03,315.0,249.5,Beef and rice with gravy,fndd
牛肉眼排（去骨，精选，生，组合21，精瘦）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vit D, thiamin, panto - Beef, Top Loin steak, boneless, choice, raw, comp21, lean",foundation
牛肉眼肉 roast/steak，精瘦，生，动物5级，精选,0.0,23.4,3.46,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",foundation
牛肉眼肉 roast/steak，精瘦，生，动物级18，精选,0.0,24.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",foundation
牛肉眼肉排/牛排，仅瘦，生，29号动物精选部位,0.0,23.3,2.27,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",foundation
牛肉眼肉排/牛排，仅瘦，生，动物级22，精选,0.0,23.9,3.01,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",foundation
牛肉眼肉排/牛排，精选，生，瘦含量13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",foundation
牛肉眼肉排，去骨，L级精选，生，精瘦含量3%维生素E补充。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vit E - Beef, Top Loin steak, boneless, L_choice, raw, comp3, lean",foundation
牛肉眼肉烤/牛排，仅瘦，生，动物17级精选部位,0.0,23.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",foundation
牛肉眼肉烤肉/牛排,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean",foundation
牛肉眼肉烤肉/牛排，精选，生的，复合5，瘦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",foundation
牛肉眼肉牛排（去骨、精瘦、生）,0.0,22.1,4.22,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 31, upperchoice",foundation
牛肉眼肉牛排，去骨，U_choice，生，comp11，瘦型,0.0,0.0,0.0,0.0,0.0,0.0,1.79,44.0,0.0,"Minerals - Beef, Top Loin steak, boneless, U_choice, raw, comp11, lean",foundation
牛肉眼肉牛排，去骨，U_choice，生，comp2，精瘦版,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vit E - Beef, Top Loin steak, boneless, U_choice, raw, comp2, lean",foundation
牛肉眼肉牛排，精瘦，生肉，选品等级6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vit E - Beef, Top Round roast/steak, select, raw, comp6, lean",foundation
"牛肉眼肉（仅瘦）, 生, 28号动物, 精选部位, 烤/牛排",0.0,22.9,1.98,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",foundation
"牛肉眼肉（瘦肉）, 生, 10号动物选择级",0.0,23.9,1.91,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",foundation
"牛肉眼肉（瘦肉）, 生, 36号动物, 精选部位 roast/steak",0.0,22.6,1.74,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",foundation
牛肉眼肉（精瘦，生）,0.0,23.166666666666668,2.5766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",foundation
牛肉米饭奶油酱,139.0,6.7,5.24,15.9,0.2,1.33,1.02,303.0,279.0,Beef and rice with cream sauce,fndd
牛肉米饭蔬菜,143.0,10.56,7.7,7.9,1.1,1.31,1.24,217.0,217.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",fndd
牛肉米饭蔬菜泥肉汁,135.0,5.8,5.18,16.13,0.7,0.54,0.99,314.0,280.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",fndd
牛肉米饭蔬菜浇汁,131.0,5.77,5.18,15.01,0.8,0.59,1.0,307.0,280.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",fndd
牛肉米饭蔬菜番茄酱,131.5,5.88,5.195,15.489999999999998,1.05,1.4249999999999998,1.22,304.0,280.0,"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",fndd
牛肉米饭蔬菜蘑菇酱,131.5,5.795,5.23,15.21,0.8500000000000001,0.945,0.94,308.5,280.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",fndd
牛肉米饭蔬菜酱,145.0,10.88,7.96,7.75,0.9,1.36,1.25,212.0,217.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",fndd
牛肉糜,0.0,19.88125,8.88,-0.14955,0.0,0.0,2.15,55.7,0.0,"Bison, ground, raw",foundation
牛肉罐头汤,37.0,1.94,1.17,4.86,0.9,1.23,0.25,266.0,342.5,"Soup, beef, canned",fndd
牛肉罐头炖品,100.0,5.0,5.96,6.54,1.1,1.06,0.57,395.0,255.0,"Stew, beef, canned",fndd
牛肉罗宋汤配面条,129.0,7.76,6.8,8.99,0.7,1.01,0.92,316.0,320.0,Beef stroganoff with noodles,fndd
牛肉肉糕,199.0,17.48,10.72,7.2,0.4,1.84,2.05,416.0,81.0,Meat loaf made with beef,fndd
牛肉肉糕，番茄酱口味,159.0,13.78,8.35,6.77,0.7,2.23,1.8,429.0,103.0,"Meat loaf made with beef, with tomato-based sauce",fndd
牛肉肝,174.0,26.31,4.64,5.12,0.0,0.0,6.12,384.0,85.0,"Liver, beef",fndd
牛肉芙蓉蛋,147.0,13.82,8.08,4.78,0.3,3.05,1.59,321.0,131.0,Beef egg foo yung,fndd
牛肉芝士卷饼,267.0,13.28,10.68,28.33,2.0,2.16,2.79,454.0,190.0,"Burrito, beef, cheese",fndd
牛肉芝士玉米饼卷,257.0,16.71,12.27,18.87,1.3,1.45,2.57,444.0,105.0,"Taco, flour tortilla, beef, cheese",fndd
牛肉蔬菜,144.0,11.72,8.81,4.65,1.2,1.5,1.23,249.0,190.0,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",fndd
牛肉蔬菜串，不含土豆,122.0,14.8,4.88,5.06,0.8,2.37,1.31,208.0,154.0,"Beef shish kabob with vegetables, excluding potatoes",fndd
牛肉蔬菜拼盘,110.0,8.24,6.99,4.48,1.7,2.51,1.22,300.0,218.0,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",fndd
牛肉蔬菜炒粉,102.0,7.09,2.74,11.51,0.9,1.1,0.45,162.0,152.0,Chow fun noodles with meat and vegetables,fndd
牛肉蔬菜配胡萝卜西兰花或深绿叶菜；无土豆蘑菇酱,115.0,7.8,7.16,5.24,1.1,1.59,0.75,307.0,220.5,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",fndd
牛肉蔬菜酱油炒,102.0,10.73,4.81,4.44,1.0,2.58,1.24,338.0,141.5,Stir fried beef and vegetables in soy sauce,fndd
牛肉蔬菜面条菌菇酱,129.0,6.63,5.03,14.63,1.1,1.08,1.06,310.0,280.0,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",fndd
牛肉蔬菜馅饼,291.0,7.19,16.0,29.91,2.0,2.75,1.62,446.0,105.0,"Empanada, beef, with vegetables",fndd
牛肉蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜；不含土豆、番茄酱）,115.0,7.67,7.18,5.96,1.4,2.23,1.12,301.0,218.0,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",fndd
牛肉蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜；无土豆、肉汁）,122.0,8.11,7.34,6.47,0.9,0.91,0.81,312.0,220.5,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",fndd
牛肉蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜；无土豆、豆酱）,147.0,12.13,9.15,4.34,1.0,1.56,1.25,245.0,190.0,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",fndd
牛肉蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜；无土豆，无酱料）,121.0,10.03,7.09,5.16,1.1,0.99,0.99,324.0,141.5,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",fndd
牛肉蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜；无土豆，蘑菇酱）,121.0,7.85,7.16,6.97,1.0,1.51,0.75,318.0,220.5,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",fndd
牛肉蔬菜（含胡萝卜、西兰花和/或深绿叶蔬菜；无土豆、肉汁）,115.0,8.06,7.34,4.5,1.0,1.0,0.82,310.0,220.5,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",fndd
牛肉蔬菜（含胡萝卜、西兰花和/或深绿叶蔬菜；无土豆，无酱料）,116.0,11.41,6.73,3.0,1.4,1.27,1.14,316.0,141.5,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",fndd
牛肉蔬菜，减肥冷冻餐,125.0,10.64,6.95,4.69,0.8,2.81,1.32,292.0,284.0,"Beef with vegetable, diet frozen meal",fndd
牛肉蔬菜，夏威夷风味,93.0,4.79,2.24,14.24,1.8,5.6,1.1,679.0,220.5,"Beef and vegetables, Hawaiian style",fndd
牛肉蘑菇意面,136.0,7.54,5.14,14.96,0.8,0.8,1.16,310.0,280.0,Beef and noodles with mushroom sauce,fndd
牛肉西冷排，T-bone牛排，精选，烤制，复合3，瘦（31BLTBS）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"B12, B6, B3, B2 - Beef, T-bone Steak, L_choice, grilled, comp3, lean (31BLTBS)",foundation
牛肉豆卷,211.0,10.56,7.45,24.99,2.6,1.73,2.5,474.0,220.0,"Burrito, meat, with beans, no cheese",fndd
牛肉豆奶酪卷饼,219.0,11.12,8.54,23.87,2.5,1.68,2.38,486.0,220.0,"Burrito, beef, with beans, cheese",fndd
牛肉豆腐蔬菜,116.0,7.41,7.82,4.6,1.1,1.63,0.975,232.5,190.0,"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",fndd
牛肉豆饭卷,218.0,10.2,7.18,27.29,2.1,1.65,2.46,453.0,220.0,"Burrito, meat, with beans and rice, no cheese",fndd
牛肉豆饭卷，芝士,225.0,10.78,8.29,26.05,2.0,1.61,2.34,465.0,220.0,"Burrito, beef, with beans and rice, cheese",fndd
牛肉豆馅玉米饼配奶酪,221.0,11.85,8.92,22.73,2.4,1.6,2.39,466.0,105.0,"Taco, flour tortilla, beef, with beans, cheese",fndd
牛肉辣椒,139.0,13.32,8.22,2.41,0.5,1.37,1.51,357.0,255.0,Chili with meat,fndd
牛肉辣椒罐头,106.0,8.5,3.38,10.82,3.2,1.43,1.84,357.0,255.0,"Chili with meat, canned",fndd
牛肉辣酱豆,118.0,9.8,4.33,10.25,3.0,1.48,1.91,340.0,255.0,Chili with meat and beans,fndd
牛肉通心粉芝士酱,137.0,9.12,5.42,12.26,0.5,1.5,1.05,394.0,307.0,Beef and macaroni with cheese sauce,fndd
牛肉配斯佩策或米饭、蔬菜、冷冻餐,118.0,6.92,4.37,12.23,0.6,1.23,1.05,278.0,298.0,"Beef with spaetzle or rice, vegetable, frozen meal",fndd
牛肉酱,104.5,12.655,4.705,3.195,0.4,0.15,1.245,496.5,132.5,Beef with gravy,fndd
牛肉里脊烤肉，精瘦，熟制，精选级5号动物源,0.0,25.6,9.54,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 5, select",foundation
牛肉里脊肉排，去骨，精瘦，生，21号动物，低档选择,0.0,23.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 21, lowerchoice",foundation
牛肉里脊肉排，去骨，精瘦，生，优选级12上层选择,0.0,23.1,9.14,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 12, upperchoice",foundation
牛肉里脊肉排，去骨，精瘦，生，低等级选择26号动物加工,0.0,22.9,4.75,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 26, lowerchoice",foundation
牛肉面,167.0,11.623333333333331,8.68,10.46,0.8666666666666666,0.8033333333333333,1.3633333333333333,288.6666666666667,220.33333333333337,Beef and noodles with soy-based sauce,fndd
牛肉面条浓汁,139.0,7.7,5.07,15.39,0.7,0.32,1.24,304.0,280.0,Beef and noodles with gravy,fndd
牛肉面条蔬菜,148.0,8.71,5.19,16.71,1.5,0.91,1.48,317.0,182.0,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",fndd
牛肉面条蔬菜浓汤,127.0,6.65,5.04,13.81,1.1,0.75,1.12,305.0,280.0,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",fndd
牛肉面条蔬菜番茄酱,128.0,6.755,5.0649999999999995,14.3,1.45,1.59,1.35,308.0,280.0,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",fndd
牛肉面条蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜）；无酱料,151.0,8.78,4.91,18.29,1.4,0.84,1.48,300.0,182.0,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",fndd
牛肉面蔬菜浓汤,131.0,6.68,5.05,14.94,1.0,0.7,1.12,305.0,280.0,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",fndd
牛肉面蔬菜蘑菇酱,125.0,6.6,5.06,13.58,1.2,1.13,1.06,303.0,280.0,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",fndd
牛肉面蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜）；豆酱,139.0,10.4,7.64,7.44,1.0,1.36,1.1,206.0,217.0,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",fndd
牛肉饭,162.0,10.425,7.63,12.595,0.35,0.455,1.335,293.5,232.25,Beef and rice with soy-based sauce,fndd
牛肉饭卷心菜包,114.0,8.3,5.06,8.83,1.3,3.45,1.1,338.0,162.0,Stuffed cabbage rolls with beef and rice,fndd
牛肉饭葡萄叶包饭,228.0,8.15,17.03,11.3,3.1,2.48,1.91,420.0,162.0,Stuffed grape leaves with beef and rice,fndd
牛肉饭蔬菜,149.0,7.62,4.29,20.0,0.9,0.62,1.32,333.0,182.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",fndd
牛肉饭蔬菜（不含胡萝卜、西兰花和深绿叶蔬菜）芝士酱,143.0,8.18,5.24,15.85,0.7,0.5,1.04,302.0,280.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",fndd
牛肉饭配胡萝卜、西兰花和绿叶蔬菜,149.0,7.54,4.86,18.38,1.0,0.69,1.31,312.0,182.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",fndd
牛肉饭配胡萝卜、西兰花和绿叶蔬菜；奶酪酱,147.0,8.58,5.51,15.54,0.8,0.58,1.09,303.0,280.0,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",fndd
牛肉饭配芝士酱,142.0,8.08,5.35,14.66,0.4,0.16,1.35,298.0,310.0,Beef and rice with cheese sauce,fndd
牛肉饼,272.0,25.45,18.18,0.0,0.0,0.0,2.41,383.0,85.0,"Beef, ground, patty",fndd
牛肉馅饼,298.3333333333333,9.4,16.856666666666666,27.103333333333335,1.8666666666666665,2.7266666666666666,1.79,426.3333333333333,146.66666666666666,"Empanada, NFS",fndd
牛肉馅饼或热口袋,233.0,10.35,10.25,24.49,1.3,2.67,2.11,455.0,105.0,"Turnover or hot pocket, beef",fndd
牛肉香肠,341.0,13.3,28.7,3.37,0.0,1.0,1.55,866.0,35.0,Beef sausage,fndd
牛肉鸡蛋洋葱馅,228.0,21.86,14.54,1.05,0.1,0.54,2.12,732.0,99.0,"Beef, ground, with egg and onion",fndd
牛肉（顶级圆臀肉）- 精选，生，成分13，瘦,0.0,0.0,0.0,0.0,0.0,0.0,2.34,55.0,0.0,"Minerals - Beef, Top Round roast/steak, select, raw, comp13, lean",foundation
牛肉，80%瘦肉/20%脂肪，生,0.0,17.53125,19.44,0.0,0.0,0.0,1.965,54.94,0.0,"Beef, ground, 80% lean meat / 20% fat, raw",foundation
牛肉，80%瘦，20%肥，生,0.0,0.0,18.61,0.0,0.0,0.0,2.0,55.4,0.0,"Beef, ground, 80% lean, 20% fat, raw",foundation
牛肉，90%瘦肉/10%脂肪，生,0.0,18.15625,12.85,0.0,0.0,0.0,2.128,61.64,0.0,"Beef, ground, 90% lean meat / 10% fat, raw",foundation
牛肉，90%瘦肉，10%脂肪，生,0.0,0.0,13.52,0.0,0.0,0.0,2.07,63.2,0.0,"Beef, ground, 90% lean, 10% fat, raw",foundation
牛肉，T骨牛排，烤制,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"B12, B6, B3, B2 - Beef, T-bone Steak, U_choice, grilled, comp1, lean (31BLTBS)",foundation
牛肉，三明治牛排,326.0,18.26,27.59,0.0,0.0,0.0,1.86,359.0,30.0,"Beef, sandwich steak",fndd
牛肉，上圆牛排，生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,"Beef, top round steak, raw  (RS38-R-5)",foundation
牛肉，上圆肉烤/牛排，精选，生，复合5，瘦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FA - Beef, Top Round roast/steak, select, raw, comp5, lean",foundation
牛肉，上圆肉烤/牛排，纯瘦，生，动物5，精选,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beef, Top Round roast/steak, lean only, raw, animal 5, select",foundation
牛肉，上圆肉烤肉/牛排，瘦，生，动物36，精选,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beef, Top Round roast/steak, lean only, raw, animal 36, select",foundation
牛肉，上圆肉烤，生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,"Beef, top round roast, raw (RR39-R-5)",foundation
牛肉，上腰肉烤肉，生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,"Beef, top round roast, raw (RR39-R-11)",foundation
牛肉，上腰肉烤，生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,"Beef, top round roast, raw (RR39-R-36)",foundation
牛肉，上腰肉牛排，去骨，0英寸脂肪修剪，生 (TL033-R-21),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,"Beef, top loin steak, boneless, 0"" fat trim, raw (TL033-R-21)",foundation
牛肉，上腰肉牛排，无骨，1/8英寸脂肪修整，生 (TL832-R-20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,"Beef, top loin steak, boneless, 1/8"" fat trim, raw (TL832-R-20)",foundation
牛肉，上腰肉牛排，生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,"Beef, top round steak, raw  (RS38-R-29)",foundation
牛肉，上臀 roast/steak，瘦，生，动物 10，选择,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beef, Top Round roast/steak, lean only, raw, animal 10, select",foundation
牛肉，去骨上腰肉排，仅精肉，生，14号动物，次选等级,0.0,23.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 14, lowerchoice",foundation
牛肉，去骨上腰肉排，仅精肉，生，30号动物，上选级,0.0,23.6,4.97,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 30, upperchoice",foundation
牛肉，去骨上腰肉排，仅精肉，生，8号动物，次选级,0.0,23.4,5.42,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 8, lowerchoice",foundation
牛肉，去骨上腰肉牛排，仅瘦，生，上选级7号动物瘦肉部位,0.0,22.7,7.33,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 7, upperchoice",foundation
牛肉，圆形，上圆形，去骨，精选，生,0.0,21.475,5.703,0.852,0.0,0.0,1.901,45.54,0.0,"Beef, round, top round, boneless, choice, raw",foundation
牛肉，圆形，顶部圆形烤肉，无骨，仅瘦肉，修剪至0英寸脂肪，精选，生,123.0,23.7,2.41,0.0,0.0,0.0,2.34,55.0,788.0,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation
牛肉，培根，熟制,449.0,31.3,34.4,1.4,0.0,0.0,3.14,1500.0,13.0,"Beef, bacon, cooked",fndd
牛肉，无骨牛腿肉,0.0,0.0,5.62,0.0,0.0,0.0,1.895,46.65,0.0,"beef, top round, boneless",foundation
牛肉，波特豪斯牛排,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"B12, B6, B3, B2 - Beef, Porterhouse Steak, select, raw, comp6, lean",foundation
牛肉，炖牛肉,251.0,28.39,15.35,0.0,0.0,0.0,2.91,370.0,60.0,"Beef, pot roast",fndd
牛肉，炖肉,251.0,28.39,15.35,0.0,0.0,0.0,2.91,370.0,77.5,"Beef, stew meat",fndd
牛肉，烤,206.0,29.08,9.72,0.0,0.0,0.0,2.89,372.0,60.0,"Beef, roast",fndd
牛肉，烤，杂碎,140.0,13.2,5.1,10.74,1.0,1.46,1.43,486.0,166.0,"Beef, roast, hash",fndd
牛肉，牛头,257.0,25.9,16.46,0.0,0.0,0.0,2.18,357.0,51.0,"Beef, cow head",fndd
牛肉，牛排条，瘦肉和肥肉食用,262.0,26.23,16.65,0.0,0.0,0.0,1.68,361.0,157.5,"Beef, steak, strip, lean and fat eaten",fndd
牛肉，牛排，NFS,229.0,27.0,12.88,0.0,0.0,0.0,2.64,369.0,127.5,"Beef, steak, NFS",fndd
牛肉，牛排，T骨牛排,252.0,26.16,15.56,0.0,0.0,0.0,3.05,372.0,180.0,"Beef, steak, T-bone, NS as to fat eaten",fndd
牛肉，牛排，T骨牛排，瘦肉,230.0,27.12,12.69,0.0,0.0,0.0,3.13,373.0,180.0,"Beef, steak, T-bone, lean only eaten",fndd
牛肉，牛排，圆形牛肉,166.0,29.72,4.25,0.0,0.0,0.0,3.21,382.0,127.5,"Beef, steak, round",fndd
牛肉，牛排，牛排条，瘦的只吃,216.0,28.05,11.32,0.0,0.0,0.0,2.3,361.0,157.5,"Beef, steak, strip, lean only eaten",fndd
牛肉，牛排，牛肉丁,187.0,28.83,7.1,0.0,0.0,0.0,3.12,379.0,127.5,"Beef, steak, cube",fndd
牛肉，牛排，牛腩,225.0,25.97,13.43,0.21,0.0,0.0,3.23,380.0,127.5,"Beef, steak, chuck",fndd
牛肉，牛排，牛腹肉,243.0,29.13,14.09,0.0,0.0,0.0,2.42,370.0,127.5,"Beef, steak, flank",fndd
牛肉，牛排，肉眼，瘦肉仅食用,230.0,26.47,13.83,0.0,0.0,0.0,2.42,364.0,157.5,"Beef, steak, ribeye, lean only eaten",fndd
牛肉，牛排，肋眼牛排，肥瘦相间,289.0,23.5,21.64,0.0,0.0,0.0,2.22,361.0,157.5,"Beef, steak, ribeye, lean and fat eaten",fndd
牛肉，牛排，西冷，肥瘦相间,262.0,26.23,16.65,0.0,0.0,0.0,1.68,361.0,127.5,"Beef, steak, sirloin, lean and fat eaten",fndd
牛肉，牛排，西冷，脂肪含量不详,239.0,27.14,13.98,0.0,0.0,0.0,1.99,361.0,127.5,"Beef, steak, sirloin, NS as to fat eaten",fndd
牛肉，牛腩肉,0.0,0.0,9.38,0.0,0.0,0.0,1.805,48.55,0.0,"beef, flank steak",foundation
牛肉，生，碎,213.0,18.44,14.88,0.0,0.0,0.0,2.07,373.0,155.0,"Beef, ground, raw",fndd
牛肉，用于蔬菜,191.0,32.41,6.82,0.0,0.0,0.0,2.96,67.0,14.0,"Beef, for use with vegetables",fndd
牛肉，眼肉 roast/steak，仅瘦，生，动物级16，精选,0.0,23.8,2.07,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",foundation
牛肉，碎,261.0,25.55,16.82,0.0,0.0,0.0,2.47,381.0,52.5,"Beef, ground",fndd
